r_bohr,r_angstrom,total_hartree,nuclear_repulsion_hartree,electronic_hartree,one_electron_hartree,two_electron_hartree,scf_iterations,n_ao,n_mo,minimum_overlap_eigenvalue,point_group,scf_seconds
0.25073203550693834,0.13268167917517304,2.0903925230032376,3.9883216278213776,-1.89792910481814,-1.8979291048181401,1.1102230246251565e-16,2,160,160,1.1232058125319752e-08,d2h,0.29745333299979393
0.2538178571328133,0.1343146256557787,2.0438302958632972,3.939833120081611,-1.8960028242183138,-1.8960028242183133,-2.220446049250313e-16,2,160,160,1.1476582035736325e-08,d2h,0.3503934579985071
0.25694165673420877,0.1359676692155372,1.9978877718444066,3.8919341173021302,-1.8940463454577237,-1.8940463454577237,0.0,2,160,160,1.1725787145426064e-08,d2h,0.3037795839991304
0.260103901715531,0.13764105719420852,1.952558080237104,3.8446174525043237,-1.8920593722672197,-1.8920593722672194,0.0,2,160,160,1.1979747702834805e-08,d2h,0.33352958300019964
0.2633050652336488,0.13933503997562469,1.9078344357738202,3.797876045842987,-1.890041610069167,-1.8900416100691673,1.1102230246251565e-16,2,160,160,1.223853725957218e-08,d2h,0.2977699590010161
0.26654562626869016,0.14104987102515373,1.863710137424258,3.751702903547005,-1.8879927661227471,-1.8879927661227471,-1.1102230246251565e-16,2,160,160,1.2502229370461558e-08,d2h,0.2980894590000389
0.26982606969571094,0.14278580692762533,1.820178567199235,3.70609111687289,-1.8859125496736548,-1.885912549673655,-1.1102230246251565e-16,2,160,160,1.2770904428767039e-08,d2h,0.2883955830002378
0.27314688635724527,0.14454310742572252,1.7772331889640887,3.661033861071047,-1.8838006721069585,-1.8838006721069585,1.1102230246251565e-16,2,160,160,1.3044640076619275e-08,d2h,0.2982027089983603
0.27650857313674837,0.1463220354588462,1.7348675472614405,3.616524394364604,-1.8816568471031636,-1.8816568471031634,-1.1102230246251565e-16,2,160,160,1.3323521730771652e-08,d2h,0.2998907080000208
0.27991163303294403,0.14812285720245796,1.6930752661432766,3.5725560569406762,-1.8794807907973996,-1.8794807907973996,0.0,2,160,160,1.3607632307780423e-08,d2h,0.31728770800145867
0.28335657523508684,0.14994584210790726,1.6518500480131038,3.529122269953856,-1.877272221940752,-1.8772722219407518,0.0,2,160,160,1.3897060383429138e-08,d2h,0.29629675000069255
0.2868439151991501,0.15179126294274828,1.6111856724776268,3.4862165345418608,-1.875030862064234,-1.875030862064234,-1.1102230246251565e-16,2,160,160,1.4191899091327076e-08,d2h,0.31314029100030893
0.2903741747249523,0.15365939583155347,1.5710759952091102,3.443832430853115,-1.8727564356440047,-1.8727564356440043,-1.1102230246251565e-16,2,160,160,1.4492242798658412e-08,d2h,0.2950116669999261
0.2939478820342325,0.15555052029722935,1.531514946817724,3.401963617086183,-1.8704486702684588,-1.8704486702684586,-2.220446049250313e-16,2,160,160,1.4798195038193373e-08,d2h,0.3001315829988016
0.29756557184968585,0.15746491930284023,1.4924965317349597,3.3606038285408446,-1.868107296805885,-1.8681072968058847,1.1102230246251565e-16,2,160,160,1.5109856098985923e-08,d2h,0.2989382919986383
0.30122778547497336,0.15940287929394756,1.4540148271075077,3.3197468766807434,-1.8657320495732357,-1.8657320495732357,1.1102230246251565e-16,2,160,160,1.5427341263039976e-08,d2h,0.3140321659993788
0.30493507087571486,0.16136469024146954,1.4160639817022354,3.279386648207412,-1.8633226665051765,-1.8633226665051765,0.0,2,160,160,1.575076395970987e-08,d2h,0.3023739159998513
0.3086879827614796,0.1633506456850688,1.378638214822593,3.23951710414555,-1.860878889322957,-1.8608788893229569,-1.1102230246251565e-16,2,160,160,1.6080249126445984e-08,d2h,0.3014558329996362
0.3124870826687856,0.16536104277707367,1.341731815235936,3.200132278939446,-1.85840046370351,-1.85840046370351,-1.1102230246251565e-16,2,160,160,1.641592769495536e-08,d2h,0.30596595799943316
0.31633293904512094,0.16739618232694023,1.3053391401123822,3.1612262795603536,-1.8558871394479715,-1.8558871394479715,0.0,2,160,160,1.675793716524588e-08,d2h,0.30029745799947705
