nm,benzene_b3lyp,benzene_camb3lyp,aniline_b3lyp,aniline_camb3lyp,nitrobenzene_b3lyp,nitrobenzene_camb3lyp,pNA_b3lyp,pNA_camb3lyp
368.5,1.307e-127,3.941e-134,2.759e-14,2.1e-19,8.541e-08,9.457e-12,4.238,7.48e-07
369,6.135e-128,1.816e-134,2.102e-14,1.54e-19,6.926e-08,7.503e-12,3.728,6.035e-07
369.5,2.883e-128,8.378e-135,1.601e-14,1.129e-19,5.615e-08,5.952e-12,3.278,4.867e-07
370,1.356e-128,3.87e-135,1.22e-14,8.273e-20,4.551e-08,4.719e-12,2.88,3.924e-07
370.5,6.389e-129,1.789e-135,9.286e-15,6.063e-20,3.687e-08,3.741e-12,2.529,3.163e-07
371,3.012e-129,8.284e-136,7.07e-15,4.444e-20,2.985e-08,2.964e-12,2.219,2.548e-07
371.5,1.422e-129,3.84e-136,5.381e-15,3.256e-20,2.417e-08,2.348e-12,1.947,2.053e-07
372,6.719e-130,1.782e-136,4.095e-15,2.386e-20,1.956e-08,1.86e-12,1.706,1.653e-07
372.5,3.179e-130,8.277e-137,3.116e-15,1.748e-20,1.582e-08,1.473e-12,1.495,1.33e-07
373,1.505e-130,3.85e-137,2.37e-15,1.281e-20,1.28e-08,1.166e-12,1.309,1.07e-07
373.5,7.137e-131,1.792e-137,1.803e-15,9.383e-21,1.035e-08,9.225e-13,1.146,8.61e-08
374,3.388e-131,8.356e-138,1.371e-15,6.873e-21,8.362e-09,7.298e-13,1.002,6.923e-08
374.5,1.61e-131,3.9e-138,1.043e-15,5.035e-21,6.757e-09,5.772e-13,0.8762,5.566e-08
375,7.657e-132,1.822e-138,7.927e-16,3.688e-21,5.457e-09,4.564e-13,0.7656,4.473e-08
375.5,3.646e-132,8.524e-139,6.026e-16,2.701e-21,4.407e-09,3.608e-13,0.6687,3.594e-08
376,1.738e-132,3.992e-139,4.58e-16,1.978e-21,3.557e-09,2.851e-13,0.5837,2.886e-08
376.5,8.297e-133,1.871e-139,3.48e-16,1.449e-21,2.871e-09,2.253e-13,0.5092,2.318e-08
377,3.964e-133,8.785e-140,2.645e-16,1.061e-21,2.316e-09,1.78e-13,0.4441,1.86e-08
377.5,1.896e-133,4.128e-140,2.009e-16,7.769e-22,1.868e-09,1.406e-13,0.387,1.493e-08
378,9.079e-134,1.942e-140,1.526e-16,5.689e-22,1.506e-09,1.11e-13,0.3372,1.198e-08
378.5,4.352e-134,9.147e-141,1.159e-16,4.166e-22,1.214e-09,8.761e-14,0.2936,9.607e-09
379,2.088e-134,4.313e-141,8.804e-17,3.051e-22,9.784e-10,6.914e-14,0.2555,7.703e-09
379.5,1.003e-134,2.036e-141,6.686e-17,2.234e-22,7.882e-10,5.455e-14,0.2223,6.175e-09
380,4.825e-135,9.623e-142,5.076e-17,1.636e-22,6.349e-10,4.304e-14,0.1933,4.949e-09
380.5,2.323e-135,4.553e-142,3.854e-17,1.198e-22,5.112e-10,3.394e-14,0.168,3.965e-09
381,1.12e-135,2.157e-142,2.926e-17,8.769e-23,4.115e-10,2.677e-14,0.1459,3.176e-09
381.5,5.403e-136,1.023e-142,2.221e-17,6.421e-23,3.312e-10,2.11e-14,0.1267,2.544e-09
382,2.61e-136,4.856e-143,1.685e-17,4.701e-23,2.665e-10,1.663e-14,0.1099,2.037e-09
382.5,1.262e-136,2.308e-143,1.279e-17,3.442e-23,2.144e-10,1.311e-14,0.09538,1.63e-09
383,6.109e-137,1.098e-143,9.705e-18,2.52e-23,1.724e-10,1.033e-14,0.0827,1.305e-09
383.5,2.96e-137,5.232e-144,7.364e-18,1.845e-23,1.386e-10,8.136e-15,0.07168,1.044e-09
384,1.436e-137,2.495e-144,5.587e-18,1.351e-23,1.114e-10,6.409e-15,0.0621,8.35e-10
384.5,6.975e-138,1.191e-144,4.238e-18,9.893e-24,8.956e-11,5.047e-15,0.05378,6.678e-10
385,3.391e-138,5.694e-145,3.215e-18,7.244e-24,7.196e-11,3.974e-15,0.04656,5.34e-10
385.5,1.65e-138,2.725e-145,2.439e-18,5.304e-24,5.781e-11,3.128e-15,0.04028,4.269e-10
